GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied:,Margin of Error; Owner occupied:,Estimate; Owner occupied: - Family households:,Margin of Error; Owner occupied: - Family households:,Estimate; Owner occupied: - Family households: - Married-couple family:,Margin of Error; Owner occupied: - Family households: - Married-couple family:,Estimate; Owner occupied: - Family households: - Married-couple family: - With own children under 18 years,Margin of Error; Owner occupied: - Family households: - Married-couple family: - With own children under 18 years,Estimate; Owner occupied: - Family households: - Married-couple family: - No own children under 18 years,Margin of Error; Owner occupied: - Family households: - Married-couple family: - No own children under 18 years,Estimate; Owner occupied: - Family households: - Other family:,Margin of Error; Owner occupied: - Family households: - Other family:,"Estimate; Owner occupied: - Family households: - Other family: - Male householder, no wife present:","Margin of Error; Owner occupied: - Family households: - Other family: - Male householder, no wife present:","Estimate; Owner occupied: - Family households: - Other family: - Male householder, no wife present: - With own children under 18 years","Margin of Error; Owner occupied: - Family households: - Other family: - Male householder, no wife present: - With own children under 18 years","Estimate; Owner occupied: - Family households: - Other family: - Male householder, no wife present: - No own children under 18 years","Margin of Error; Owner occupied: - Family households: - Other family: - Male householder, no wife present: - No own children under 18 years","Estimate; Owner occupied: - Family households: - Other family: - Female householder, no husband present:","Margin of Error; Owner occupied: - Family households: - Other family: - Female householder, no husband present:","Estimate; Owner occupied: - Family households: - Other family: - Female householder, no husband present: - With own children under 18 years","Margin of Error; Owner occupied: - Family households: - Other family: - Female householder, no husband present: - With own children under 18 years","Estimate; Owner occupied: - Family households: - Other family: - Female householder, no husband present: - No own children under 18 years","Margin of Error; Owner occupied: - Family households: - Other family: - Female householder, no husband present: - No own children under 18 years",Estimate; Owner occupied: - Nonfamily households,Margin of Error; Owner occupied: - Nonfamily households,Estimate; Renter occupied:,Margin of Error; Renter occupied:,Estimate; Renter occupied: - Family households:,Margin of Error; Renter occupied: - Family households:,Estimate; Renter occupied: - Family households: - Married-couple family:,Margin of Error; Renter occupied: - Family households: - Married-couple family:,Estimate; Renter occupied: - Family households: - Married-couple family: - With own children under 18 years,Margin of Error; Renter occupied: - Family households: - Married-couple family: - With own children under 18 years,Estimate; Renter occupied: - Family households: - Married-couple family: - No own children under 18 years,Margin of Error; Renter occupied: - Family households: - Married-couple family: - No own children under 18 years,Estimate; Renter occupied: - Family households: - Other family:,Margin of Error; Renter occupied: - Family households: - Other family:,"Estimate; Renter occupied: - Family households: - Other family: - Male householder, no wife present:","Margin of Error; Renter occupied: - Family households: - Other family: - Male householder, no wife present:","Estimate; Renter occupied: - Family households: - Other family: - Male householder, no wife present: - With own children under 18 years","Margin of Error; Renter occupied: - Family households: - Other family: - Male householder, no wife present: - With own children under 18 years","Estimate; Renter occupied: - Family households: - Other family: - Male householder, no wife present: - No own children under 18 years","Margin of Error; Renter occupied: - Family households: - Other family: - Male householder, no wife present: - No own children under 18 years","Estimate; Renter occupied: - Family households: - Other family: - Female householder, no husband present:","Margin of Error; Renter occupied: - Family households: - Other family: - Female householder, no husband present:","Estimate; Renter occupied: - Family households: - Other family: - Female householder, no husband present: - With own children under 18 years","Margin of Error; Renter occupied: - Family households: - Other family: - Female householder, no husband present: - With own children under 18 years","Estimate; Renter occupied: - Family households: - Other family: - Female householder, no husband present: - No own children under 18 years","Margin of Error; Renter occupied: - Family households: - Other family: - Female householder, no husband present: - No own children under 18 years",Estimate; Renter occupied: - Nonfamily households,Margin of Error; Renter occupied: - Nonfamily households
0400000US09,09,Connecticut,1359218,2943,939984,3901,704458,3918,591924,4314,255546,3207,336378,2620,112534,2107,32202,1412,12536,736,19666,1074,80332,1552,35065,1185,45267,1296,235526,2573,419234,3151,207195,2775,95536,1945,47218,1407,48318,1364,111659,1984,22904,1017,11702,776,11202,730,88755,1701,63494,1616,25261,1124,212039,2927
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",6590,366,5191,342,4357,290,3893,289,1680,208,2213,250,464,136,114,64,45,37,69,45,350,124,192,101,158,66,834,169,1399,184,682,161,403,136,187,97,216,98,279,103,90,76,90,76,0,123,189,69,178,68,11,19,717,163
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",52281,862,23654,856,16101,709,11182,652,5068,458,6114,472,4919,453,1170,213,364,144,806,168,3749,425,1784,324,1965,316,7553,639,28627,915,16406,767,6066,548,3457,426,2609,328,10340,609,2091,342,945,243,1146,250,8249,586,5857,479,2392,420,12221,767
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",5869,179,5191,194,4232,168,3706,179,1636,121,2070,166,526,125,147,73,79,48,68,48,379,112,164,69,215,82,959,182,678,146,383,141,227,108,160,105,67,42,156,96,22,25,9,14,13,21,134,93,82,71,52,57,295,105
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",29552,601,18544,561,13074,559,11142,562,4745,400,6397,430,1932,283,580,154,212,116,368,126,1352,226,532,169,820,202,5470,437,11008,610,6307,509,3369,449,2005,383,1364,295,2938,420,1036,235,434,161,602,206,1902,337,1287,285,615,198,4701,471
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",6713,145,5898,193,5086,147,4599,183,2787,133,1812,166,487,122,87,48,51,36,36,32,400,122,250,93,150,63,812,157,815,137,377,116,230,83,125,68,105,47,147,79,0,123,0,123,0,123,147,79,142,79,5,9,438,108
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",2438,84,2382,89,2022,91,1832,97,991,77,841,104,190,73,33,30,15,23,18,20,157,72,63,52,94,59,360,104,56,39,29,26,29,26,29,26,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,27,27
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",19220,460,16409,438,13071,386,11557,439,6114,311,5443,372,1514,228,354,115,119,70,235,85,1160,184,556,154,604,109,3338,312,2811,337,1205,217,735,173,340,108,395,123,470,137,178,107,89,78,89,72,292,106,215,85,77,47,1606,274
